,amount,borough_name,hood_name,total_crime,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
0,537981.5,BRONX,Baychester,10,40.86685810725274,-73.83579759808124,35.25,76.25,30.016666666666666
1,410292.0,BRONX,Bedford Park,57,40.87018516497537,-73.88551218419138,35.583333333333336,63.48333333333333,33.68333333333333
2,493852.0,BRONX,Belmont,80,40.857277100738976,-73.88845196134812,34.45,51.13333333333333,32.55
3,496198.0,BRONX,Castle Hill,16,40.819014376988356,-73.84802729582742,33.88333333333333,82.43333333333334,29.766666666666666
4,561559.5,BRONX,City Island,4,40.84724670491817,-73.7864884526742,38.68333333333333,75.85,33.18333333333333
5,545983.5,BRONX,Claremont Village,94,40.83142834161551,-73.90119903387674,33.93333333333333,49.95,33.53333333333333
6,434850.0,BRONX,Clason Point,10,40.80655112003594,-73.85414416189273,37.18333333333333,90.71666666666668,33.5
7,182250.0,BRONX,Co-op City,33,40.874294193030146,-73.82993910812405,40.8,94.33333333333331,35.56666666666667
8,267970.0,BRONX,Concourse,85,40.83428380733855,-73.91558941773452,32.516666666666666,52.05,36.05
9,387304.0,BRONX,Concourse Village,128,40.82478049084294,-73.91584652759016,33.03333333333333,46.68333333333333,35.583333333333336
10,598389.5,BRONX,Country Club,7,40.844245936947424,-73.82409926753857,35.11666666666667,81.21666666666667,28.86666666666667
11,480469.0,BRONX,East Tremont,109,40.84269615786057,-73.88735617532346,33.166666666666664,50.56666666666667,32.46666666666667
12,668210.0,BRONX,Eastchester,12,40.88755567735082,-73.82780644716419,36.95,84.53333333333333,31.73333333333333
13,550497.0,BRONX,Edenwald,35,40.88456130303736,-73.84808271877175,40.2,71.95,34.98333333333333
14,321028.0,BRONX,Edgewater Park,7,40.82198611816354,-73.81388514428627,32.8,87.46666666666668,27.8
15,1136226.0,BRONX,Fieldston,3,40.89543742690388,-73.90564259591689,31.516666666666666,61.76666666666666,39.45
16,245679.0,BRONX,Fordham,138,40.86099679638657,-73.89642655981629,36.3,40.23333333333333,35.583333333333336
17,455173.0,BRONX,High  Bridge,72,40.8366230107061,-73.92610209358138,28.966666666666665,52.33333333333334,32.516666666666666
18,631906.5,BRONX,Hunts Point,26,40.80972987938713,-73.88331505955298,32.36666666666667,67.6,32.38333333333333
19,328997.5,BRONX,Kingsbridge,43,40.881687371205246,-73.90281798724611,35.333333333333336,45.86666666666667,38.18333333333333
20,595731.0,BRONX,Longwood,59,40.81509904545826,-73.89578820094465,28.2,46.88333333333333,29.68333333333333
21,474500.5,BRONX,Melrose,93,40.81975437059498,-73.90942160757443,31.11666666666667,40.28333333333333,34.666666666666664
22,641327.0,BRONX,Morris Heights,39,40.84789792606274,-73.91967159119572,29.61666666666667,59.86666666666667,34.25
23,626357.5,BRONX,Morris Park,22,40.847549063536384,-73.85040178030428,36.11666666666667,77.8,29.766666666666666
24,388329.0,BRONX,Morrisania,74,40.82359198585537,-73.90150648943066,33.083333333333336,42.0,35.166666666666664
25,656187.5,BRONX,Mott Haven,114,40.80623874935181,-73.91609987487583,24.83333333333333,45.01666666666666,28.38333333333333
26,276727.0,BRONX,Mount Eden,45,40.84382617671658,-73.91655551964428,30.23333333333333,50.03333333333333,31.58333333333333
27,505001.5,BRONX,Mount Hope,89,40.84884160724669,-73.90829930881995,31.766666666666666,40.81666666666667,34.416666666666664
28,812447.5,BRONX,North Riverdale,10,40.9085428295067,-73.90453054908934,33.583333333333336,75.46666666666667,43.8
29,221897.0,BRONX,Norwood,52,40.87722415599449,-73.87939073956818,37.516666666666666,51.48333333333333,34.916666666666664
30,422622.5,BRONX,Olinville,65,40.87137078192375,-73.86332361652785,37.91666666666666,56.3,35.583333333333336
31,236411.0,BRONX,Parkchester,27,40.83793782226733,-73.8560031053579,37.3,68.53333333333333,32.083333333333336
32,594422.0,BRONX,Pelham Bay,12,40.850641409403394,-73.83207378240479,34.2,71.53333333333333,29.216666666666665
33,561897.0,BRONX,Pelham Gardens,18,40.86296562478002,-73.8416119483123,35.55,87.3,29.2
34,625382.5,BRONX,Pelham Parkway,23,40.85741349808869,-73.85475564018006,34.98333333333333,64.38333333333334,28.63333333333333
35,424923.5,BRONX,Port Morris,12,40.801663627756255,-73.91322139386142,25.716666666666665,60.75,29.25
36,545332.0,BRONX,Riverdale,7,40.89083449389135,-73.91258546108577,30.08333333333333,60.21666666666667,40.31666666666667
37,562859.0,BRONX,Schuylerville,38,40.82657951686926,-73.82620275994081,30.43333333333333,86.86666666666666,25.966666666666665
38,666142.5,BRONX,Soundview,76,40.82101219791406,-73.86574609554933,30.13333333333333,74.15,28.466666666666665
39,385721.5,BRONX,Spuyten Duyvil,9,40.8813949772709,-73.91719048210399,29.23333333333333,59.0,39.35
40,449917.0,BRONX,Throgs Neck,4,40.815109258040096,-73.8163500215845,34.46666666666667,97.91666666666669,28.16666666666667
41,588603.0,BRONX,Unionport,16,40.829774297871644,-73.85053524451942,31.466666666666665,67.13333333333334,27.23333333333333
42,408305.0,BRONX,University Heights,70,40.855727077196676,-73.91041596191317,33.93333333333333,56.25,38.05
43,500152.5,BRONX,Van Nest,53,40.84360847124722,-73.86629918075617,33.416666666666664,54.66666666666666,31.23333333333333
44,558734.0,BRONX,Wakefield,35,40.89470517661004,-73.8472005205491,40.1,71.61666666666666,36.41666666666666
45,498512.0,BRONX,West Farms,62,40.83947505672657,-73.87774474910552,29.73333333333333,48.08333333333334,28.55
46,544297.5,BRONX,Westchester Square,29,40.84061949643274,-73.8421940760445,32.36666666666667,64.23333333333333,26.0
47,467897.0,BRONX,Williamsbridge,43,40.881038878192136,-73.85744642974214,38.65,62.88333333333333,35.25
48,598682.0,BRONX,Woodlawn,24,40.89827261213809,-73.86731496814183,36.61666666666667,73.9,34.45
49,914863.0,BROOKLYN,Bath Beach,39,40.599518702822415,-73.99875221443526,39.016666666666666,54.2,26.66666666666667
50,1098888.0,BROOKLYN,Bay Ridge,47,40.625801065010684,-74.0306206935382,38.2,51.3,33.766666666666666
51,1248311.0,BROOKLYN,Bedford Stuyvesant,170,40.6872316077205,-73.94178488690305,34.333333333333336,39.65,35.46666666666667
52,997118.0,BROOKLYN,Bensonhurst,47,40.61100890202048,-73.99517998380736,42.43333333333333,50.63333333333333,32.333333333333336
53,842824.5,BROOKLYN,Bergen Beach,2,40.61514955045313,-73.89855633630323,55.16666666666666,84.33333333333333,28.35
54,1747683.0,BROOKLYN,Boerum Hill,44,40.687241380657376,-73.98357724689187,27.7,24.48333333333333,38.11666666666667
55,1144638.0,BROOKLYN,Borough Park,40,40.63313051275804,-73.99049823044818,38.7,42.31666666666667,41.5
56,456419.0,BROOKLYN,Brighton Beach,44,40.57682506566609,-73.96509448785343,45.45,50.06666666666667,25.266666666666666
57,818018.0,BROOKLYN,Broadway Junction,66,40.67786104769535,-73.90331684852606,35.21666666666667,39.21666666666667,24.45
58,1779544.0,BROOKLYN,Brooklyn Heights,20,40.695863722724134,-73.99378225496432,26.466666666666665,26.1,36.36666666666667
59,667099.0,BROOKLYN,Brownsville,103,40.663949943397576,-73.91023536176615,41.56666666666667,42.63333333333333,27.18333333333333
60,1093899.5,BROOKLYN,Bushwick,144,40.69811611017905,-73.92525797487053,31.016666666666666,38.96666666666667,33.266666666666666
61,531864.0,BROOKLYN,Canarsie,44,40.63556432797432,-73.90209269778974,47.28333333333333,76.96666666666667,20.983333333333334
62,1126667.5,BROOKLYN,Carroll Gardens,15,40.682131885641844,-74.00037274122077,28.28333333333333,34.55,37.61666666666667
63,639509.0,BROOKLYN,City Line,54,40.67856995727482,-73.86797598081344,39.11666666666667,53.36666666666667,16.116666666666667
64,1265286.5,BROOKLYN,Clinton Hill,38,40.69322942188155,-73.96784306216374,26.43333333333333,36.28333333333333,33.81666666666667
65,2707548.5,BROOKLYN,Cobble Hill,11,40.68791972248561,-73.99856139218471,27.11666666666667,37.81666666666667,36.43333333333333
66,581878.0,BROOKLYN,Coney Island,43,40.574292564716046,-73.98868295821644,44.01666666666666,62.01666666666666,27.85
67,1076606.0,BROOKLYN,Crown Heights,63,40.67082917695298,-73.9432911907359,38.53333333333333,34.1,33.36666666666667
68,712389.0,BROOKLYN,Cypress Hills,31,40.6846357939163,-73.87583132262634,33.6,53.43333333333333,19.616666666666667
69,962283.5,BROOKLYN,Ditmas Park,23,40.64367518334101,-73.96101312466787,36.333333333333336,35.46666666666667,39.73333333333333
70,766078.0,BROOKLYN,Downtown,67,40.69084402109806,-73.98346337431107,23.23333333333333,21.316666666666666,33.666666666666664
71,1280986.0,BROOKLYN,Dumbo,6,40.70317632822696,-73.98875280745047,24.5,27.13333333333333,34.9
72,988767.5,BROOKLYN,Dyker Heights,23,40.61921945772268,-74.01931375636029,34.56666666666667,58.2,31.7
73,579554.0,BROOKLYN,East Flatbush,47,40.64171776668965,-73.93610256185843,46.38333333333333,55.3,31.466666666666665
74,701834.0,BROOKLYN,East New York,58,40.66992570084708,-73.88069863917373,41.0,53.21666666666667,17.9
75,1111315.0,BROOKLYN,East Williamsburg,88,40.70849241041552,-73.93885815269203,25.6,23.766666666666666,32.0
76,1197101.0,BROOKLYN,Flatbush,46,40.63632589026681,-73.95840106533913,38.9,38.333333333333336,35.28333333333333
77,565541.0,BROOKLYN,Flatlands,32,40.6304460437575,-73.92911302644681,49.95,61.8,26.61666666666667
78,1643528.0,BROOKLYN,Fort Greene,36,40.688527260189815,-73.97290574369099,27.966666666666665,30.95,38.38333333333333
79,814413.0,BROOKLYN,Fort Hamilton,18,40.614768126942295,-74.0319791453799,35.86666666666667,48.9,28.66666666666667
80,3465738.5,BROOKLYN,Fulton Ferry,1,40.70328109093018,-73.99550751888422,25.566666666666666,27.53333333333333,35.85
81,506564.0,BROOKLYN,Georgetown,17,40.62384524478424,-73.91607483951331,54.93333333333333,68.45,26.66666666666667
82,572826.0,BROOKLYN,Gerritsen Beach,23,40.590848433902075,-73.93010170691203,49.31666666666667,76.05,27.48333333333333
83,1134676.0,BROOKLYN,Gowanus,30,40.673931143187204,-73.99444087145346,28.35,35.81666666666667,39.5
84,823660.0,BROOKLYN,Gravesend,38,40.59526001306597,-73.97347087708451,44.45,53.7,26.316666666666666
85,1778795.0,BROOKLYN,Greenpoint,43,40.73020098486474,-73.954240931274,17.9,38.53333333333333,29.91666666666667
86,693586.0,BROOKLYN,Highland Park,29,40.682485511016935,-73.8902809854761,33.9,51.41666666666666,21.0
87,779123.0,BROOKLYN,Homecrest,29,40.59852509513729,-73.9591845942871,46.58333333333334,44.65,28.25
88,1199048.5,BROOKLYN,Kensington,30,40.64238195800357,-73.98042110559481,33.63333333333333,40.35,41.583333333333336
89,802419.5,BROOKLYN,Madison,13,40.609377701137696,-73.948415153289,48.16666666666666,49.05,28.61666666666667
90,1564857.0,BROOKLYN,Manhattan Beach,3,40.57791350308661,-73.94353722891893,47.21666666666667,71.75,25.33333333333333
91,578491.5,BROOKLYN,Manhattan Terrace,19,40.614432513351026,-73.95743840559945,44.53333333333333,43.9,31.216666666666665
92,721422.0,BROOKLYN,Marine Park,29,40.60974777989464,-73.93134404108504,49.46666666666667,67.63333333333334,23.1
93,429594.0,BROOKLYN,Midwood,31,40.62559589869847,-73.95759523489845,41.4,38.266666666666666,32.88333333333333
94,642533.0,BROOKLYN,Mill Basin,9,40.615974239623405,-73.91515391550409,49.95,66.46666666666667,23.6
95,1050585.0,BROOKLYN,Mill Island,4,40.60633642168567,-73.90818571777432,53.55,80.83333333333333,27.2
96,1068453.5,BROOKLYN,Navy Yard,11,40.698790872180545,-73.97164435527614,26.4,39.91666666666666,33.98333333333333
97,588359.0,BROOKLYN,New Lots,94,40.66274427969663,-73.885117763793,40.31666666666667,51.51666666666666,18.85
98,1200409.5,BROOKLYN,North Side,40,40.714822906532056,-73.95880857587589,26.38333333333333,20.616666666666667,32.833333333333336
99,916268.0,BROOKLYN,Ocean Hill,78,40.6784025547954,-73.91306831787405,36.9,38.13333333333333,26.05
100,874685.0,BROOKLYN,Ocean Parkway,29,40.613059766679456,-73.96836678035548,39.13333333333333,50.58333333333334,30.53333333333333
101,630018.0,BROOKLYN,Paerdegat Basin,11,40.63131755039671,-73.90233474295844,45.45,73.38333333333334,19.15
102,1397456.0,BROOKLYN,Park Slope,24,40.672320522682014,-73.97705030183931,33.833333333333336,32.2,42.16666666666666
103,1094062.0,BROOKLYN,Prospect Heights,75,40.676822262254774,-73.96485924262697,32.28333333333333,31.216666666666665,39.61666666666667
104,752056.0,BROOKLYN,Prospect Lefferts Gardens,104,40.65842001746986,-73.95489867077721,39.35,38.16666666666666,40.18333333333333
105,716567.0,BROOKLYN,Prospect Park South,34,40.64700860318523,-73.96261316716055,36.766666666666666,34.45,40.15
106,1213512.0,BROOKLYN,Red Hook,22,40.67625323025092,-74.01275897473569,29.5,43.4,38.35
107,599275.5,BROOKLYN,Remsen Village,48,40.65211745179353,-73.91665331978055,46.16666666666666,55.65,25.45
108,609533.0,BROOKLYN,Rugby,55,40.655572313280814,-73.92688212616963,47.78333333333333,53.46666666666667,28.95
109,597971.5,BROOKLYN,Sea Gate,13,40.576375378902284,-74.00787311200247,46.41666666666666,90.76666666666668,30.25
110,636122.0,BROOKLYN,Sheepshead Bay,21,40.58689012678388,-73.94318640482987,44.16666666666666,57.15,22.716666666666665
111,1140374.0,BROOKLYN,South Side,21,40.710861472650684,-73.95800095153338,28.0,30.55,36.016666666666666
112,572618.5,BROOKLYN,Spring Creek,29,40.657139276582775,-73.86998779106547,40.78333333333333,66.95,14.483333333333333
113,661042.0,BROOKLYN,Starrett City,20,40.64758905230878,-73.87936970045881,41.0,70.46666666666667,14.7
114,1248396.0,BROOKLYN,Sunset Park,103,40.64510294925433,-74.01031618527792,36.66666666666666,37.48333333333333,36.98333333333333
115,915289.0,BROOKLYN,Vinegar Hill,5,40.703321498828785,-73.98111603592399,25.3,44.31666666666667,34.46666666666667
116,1027587.0,BROOKLYN,Weeksville,115,40.6750398650324,-73.93053108817347,40.43333333333333,44.71666666666667,29.98333333333333
117,1456207.0,BROOKLYN,Williamsburg,36,40.70714439344255,-73.95811529220936,25.15,27.98333333333333,31.566666666666666
118,1527697.0,BROOKLYN,Windsor Terrace,16,40.656945835751074,-73.98007340430179,31.1,40.71666666666667,39.48333333333333
119,654570.0,BROOKLYN,Wingate,45,40.66094656188115,-73.9371868055932,43.0,50.16666666666666,34.55
120,1570748.0,MANHATTAN,Battery Park City,10,40.71193198394569,-74.01686930508625,21.066666666666666,24.55,40.73333333333333
121,941459.0,MANHATTAN,Carnegie Hill,58,40.78268256712574,-73.9532564683712,23.11666666666667,22.7,34.2
122,775059.0,MANHATTAN,Central Harlem,202,40.81597606742418,-73.94321112603912,26.61666666666667,32.4,32.45
123,1017463.0,MANHATTAN,Chelsea,85,40.744034706748025,-74.0031163347282,9.866666666666667,16.416666666666668,43.33333333333334
124,1002600.0,MANHATTAN,Chinatown,42,40.715618422314364,-73.99427936255984,21.266666666666666,20.983333333333334,35.11666666666667
125,2076404.5,MANHATTAN,Civic Center,34,40.71522892046285,-74.00541529873362,16.883333333333333,18.08333333333333,39.7
126,779892.5,MANHATTAN,Clinton,118,40.7583336869064,-73.99640768221386,10.333333333333334,15.883333333333333,40.63333333333333
127,827610.0,MANHATTAN,East Harlem,225,40.792249466630366,-73.94418223148531,23.6,38.6,31.0
128,903317.0,MANHATTAN,East Village,37,40.72784677727029,-73.98222616506425,16.483333333333334,20.366666666666667,36.55
129,1202878.0,MANHATTAN,Financial District,65,40.707107107270524,-74.01066544521277,24.8,20.7,43.33333333333334
130,1519790.0,MANHATTAN,Flatiron,101,40.73967304763847,-73.99094710528267,6.583333333333332,11.216666666666667,36.98333333333333
131,851037.0,MANHATTAN,Gramercy,62,40.737209832715045,-73.98137594833548,13.416666666666664,18.7,33.016666666666666
132,1679017.5,MANHATTAN,Greenwich Village,48,40.72693288536132,-73.99991402945909,11.183333333333335,15.166666666666664,39.5
133,772320.0,MANHATTAN,Hamilton Heights,126,40.82360428481197,-73.94968791883373,27.11666666666667,32.68333333333333,36.016666666666666
134,478409.0,MANHATTAN,Inwood,57,40.867683964499186,-73.92121042203905,28.88333333333333,42.0,37.06666666666667
135,999444.0,MANHATTAN,Lenox Hill,28,40.768112658287365,-73.95885968813765,21.416666666666668,13.15,37.86666666666667
136,1066367.0,MANHATTAN,Lincoln Square,122,40.773528889421705,-73.9853377700127,18.966666666666665,19.4,42.85
137,1397524.0,MANHATTAN,Little Italy,21,40.719323793959106,-73.99730467208079,16.1,17.166666666666668,36.95
138,956284.0,MANHATTAN,Lower East Side,76,40.717806748927686,-73.98089031999298,18.15,28.43333333333333,35.31666666666667
139,1040904.0,MANHATTAN,Manhattan Valley,83,40.7973070417029,-73.96428617740662,24.966666666666665,25.88333333333333,39.8
140,758131.5,MANHATTAN,Manhattanville,76,40.81693442949784,-73.95738539351888,23.966666666666665,34.5,37.91666666666666
141,519675.5,MANHATTAN,Marble Hill,1,40.87655077879968,-73.91065965862988,34.78333333333333,45.28333333333333,38.5
142,1058101.0,MANHATTAN,Midtown,117,40.754691102706275,-73.98166882730311,9.3,11.583333333333336,38.11666666666667
143,1255071.5,MANHATTAN,Midtown South,134,40.74850966431225,-73.98871313285254,0.0,0.0,34.25
